Code,Label
HFA_1,"Mid-year population, by sex"
HFA_2,Mid-year male population
HFA_3,Mid-year female population
HFA_10,"% of population aged 0–14 years, by sex"
HFA_11,"% of population aged 0–14 years, males"
HFA_12,"% of population aged 0–14 years, females"
HFA_13,"% of population aged 65+ years, by sex"
HFA_14,"% of population aged 65+ years, males"
HFA_15,"% of population aged 65+ years, females"
HFA_16,"Live births per 1000 population, by sex"
HFA_17,"Live births per 1000 population, males"
HFA_18,"Live births per 1000 population, females"
HFA_19,"Number of live births, by sex"
HFA_20,"Number of live births, males"
HFA_21,"Number of live births, females"
HFA_22,"Crude death rate per 1000 population, by sex"
HFA_23,"Crude death rate per 1000 population, males"
HFA_24,"Crude death rate per 1000 population, females"
HFA_25,Total fertility rate
HFA_26,% of urban population
HFA_27,Average population density per km2
HFA_28,Area (km2)
HFA_29,Unemployment rate (%)
HFA_30,Labour force as % of population
HFA_31,Annual average rate of inflation (%)
HFA_32,"Gross national income, US$ per capita"
HFA_33,"Gross domestic product (GDP), US$ per capita"
HFA_34,"Real gross domestic product, purchasing power parity (USD) per capita"
HFA_35,Total government expenditure as % of GDP
HFA_36,"Literacy rate (%) in population aged 15+ years, by sex"
HFA_37,Literacy rate (%) in male population aged 15+ years
HFA_38,Literacy rate (%) in female population aged 15+ years
HFA_39,% of population with postsecondary education aged 25+ years
HFA_40,% of population with primary education only aged 25+ years
HFA_41,% of population with secondary education only aged 25+ years
HFA_42,UNDP Human Development Index (HDI)
HFA_43,"Life expectancy at birth (years), by sex"
HFA_44,"Life expectancy at birth (years), males"
HFA_45,"Life expectancy at birth (years), females"
HFA_46,"Life expectancy at age 1 (years), by sex"
HFA_47,"Life expectancy at age 1 (years), males"
HFA_48,"Life expectancy at age 1 (years), females"
HFA_49,"Life expectancy at age 15 (years), by sex"
HFA_50,"Life expectancy at age 15 (years), males"
HFA_51,"Life expectancy at age 15 (years), females"
HFA_52,"Life expectancy at age 45 (years), by sex"
HFA_53,"Life expectancy at age 45 (years), males"
HFA_54,"Life expectancy at age 45 (years), females"
HFA_55,"Life expectancy at age 65 (years), by sex"
HFA_56,"Life expectancy at age 65 (years), males"
HFA_57,"Life expectancy at age 65 (years), females"
HFA_58,"Reduction of life expectancy through death before 65 years, by sex"
HFA_59,"Reduction of life expectancy through death before 65 years, males"
HFA_60,"Reduction of life expectancy through death before 65 years, females"
HFA_61,"Probability of dying before age 5 per 1000 live births, by sex"
HFA_62,"Probability of dying before age 5 per 1000 live births, males"
