"Measure code","SEX","YES_NO","COUNTRY_REGION","YEAR","VALUE"
"HFA_572","ALL","","ALB","1995","25.96610481"
"HFA_572","ALL","","ALB","1996","23.49574237"
"HFA_572","ALL","","ALB","1997","26.75056386"
"HFA_572","ALL","","ALB","1998","30.17481594"
"HFA_572","ALL","","ALB","1999","36.54778707"
"HFA_572","ALL","","ALB","2000","36.10012132"
"HFA_572","ALL","","ALB","2001","38.20281748"
"HFA_572","ALL","","ALB","2002","35.81405161"
"HFA_572","ALL","","ALB","2003","35.93587926"
"HFA_572","ALL","","ALB","2004","42.00000471"
"HFA_572","ALL","","ALB","2005","44.24980269"
"HFA_572","ALL","","ALB","2006","43.93458345"
"HFA_572","ALL","","ALB","2007","43.07337795"
"HFA_572","ALL","","ALB","2008","45.89721323"
"HFA_572","ALL","","ALB","2009","48.92781303"
"HFA_572","ALL","","ALB","2010","46.42083932"
"HFA_572","ALL","","ALB","2011","49.85717851"
"HFA_572","ALL","","ALB","2012","48.94649304"
"HFA_572","ALL","","ALB","2013","50.14879378"
"HFA_572","ALL","","ALB","2014","49.91196079"
"HFA_572","ALL","","AND","1995","68.57237268"
"HFA_572","ALL","","AND","1996","69.50140527"
"HFA_572","ALL","","AND","1997","69.92880433"
"HFA_572","ALL","","AND","1998","73.97672962"
"HFA_572","ALL","","AND","1999","68.6671435"
"HFA_572","ALL","","AND","2000","68.78294511"
"HFA_572","ALL","","AND","2001","68.75"
"HFA_572","ALL","","AND","2002","68.80733945"
"HFA_572","ALL","","AND","2003","68.68855021"
"HFA_572","ALL","","AND","2004","68.65955253"
"HFA_572","ALL","","AND","2005","66.23540006"
"HFA_572","ALL","","AND","2006","67.10940946"
"HFA_572","ALL","","AND","2007","72.3913649"
"HFA_572","ALL","","AND","2008","73.46993484"
"HFA_572","ALL","","AND","2009","74.5232018"
"HFA_572","ALL","","AND","2010","78.03248812"
"HFA_572","ALL","","AND","2011","73.48512127"
"HFA_572","ALL","","AND","2012","76.1465874"
"HFA_572","ALL","","AND","2013","84.44256502"
"HFA_572","ALL","","AND","2014","78.02805697"
"HFA_572","ALL","","ARM","1995","31.10071116"
"HFA_572","ALL","","ARM","1996","27.99544199"
